<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PETR3.SA,D,20000103,000000,25.00,25.00,23.75,24.50,499840000,0
PETR3.SA,D,20000104,000000,23.75,23.75,23.00,23.12,387360000,0
PETR3.SA,D,20000105,000000,23.06,23.50,22.50,23.44,830720000,0
PETR3.SA,D,20000106,000000,23.44,23.75,23.25,23.25,412960000,0
PETR3.SA,D,20000107,000000,23.25,23.75,23.25,23.44,313280000,0
PETR3.SA,D,20000110,000000,23.75,24.69,23.56,24.12,280960000,0
PETR3.SA,D,20000111,000000,24.12,24.25,23.31,23.31,229280000,0
PETR3.SA,D,20000112,000000,23.31,23.31,22.31,22.50,460320000,0
PETR3.SA,D,20000113,000000,23.25,23.44,22.50,22.50,185280000,0
PETR3.SA,D,20000114,000000,22.62,23.00,21.75,22.69,185120000,0
PETR3.SA,D,20000117,000000,22.75,22.81,22.31,22.50,93120000,0
PETR3.SA,D,20000118,000000,22.38,22.50,22.19,22.50,117760000,0
PETR3.SA,D,20000119,000000,22.38,23.25,21.88,22.31,351040000,0
PETR3.SA,D,20000120,000000,21.94,22.19,21.38,21.56,367680000,0
PETR3.SA,D,20000121,000000,21.56,21.59,20.94,20.94,333120000,0
PETR3.SA,D,20000124,000000,21.00,21.25,21.00,21.06,191360000,0
PETR3.SA,D,20000125,000000,21.06,21.06,21.06,21.06,000,0
PETR3.SA,D,20000126,000000,20.94,21.31,20.88,20.88,579840000,0
PETR3.SA,D,20000127,000000,21.63,21.75,21.12,21.13,392640000,0
PETR3.SA,D,20000128,000000,21.25,21.38,20.69,20.88,188640000,0
PETR3.SA,D,20000131,000000,20.88,21.25,20.50,21.25,147840000,0
PETR3.SA,D,20000201,000000,21.88,21.88,21.25,21.88,211840000,0
PETR3.SA,D,20000202,000000,21.94,22.44,21.94,22.34,252480000,0
PETR3.SA,D,20000203,000000,22.81,23.62,22.75,23.62,523840000,0
PETR3.SA,D,20000204,000000,23.75,24.31,23.56,24.31,308160000,0
PETR3.SA,D,20000207,000000,24.38,24.56,23.62,24.22,306240000,0
PETR3.SA,D,20000208,000000,24.38,25.00,24.38,25.00,887520000,0
PETR3.SA,D,20000209,000000,25.00,25.25,24.06,24.38,209920000,0
PETR3.SA,D,20000210,000000,24.25,24.31,23.06,23.75,487520000,0
PETR3.SA,D,20000211,000000,23.75,23.75,22.56,22.88,533440000,0
PETR3.SA,D,20000214,000000,23.44,23.44,22.62,23.12,28320000,0
PETR3.SA,D,20000215,000000,22.81,24.44,22.81,24.44,579200000,0
PETR3.SA,D,20000216,000000,24.38,25.38,23.62,25.38,1093440000,0
PETR3.SA,D,20000217,000000,25.31,25.31,24.38,24.56,214400000,0
